City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Uzventis,LT,55.7803,22.6547,59.07,94,100,6.98,overcast clouds
302,Kinsale,IE,51.7075,-8.5306,56.57,88,75,3.44,broken clouds
303,Qidong,CN,31.8128,121.6561,84.38,71,38,2.13,scattered clouds
304,Yelizovo,RU,53.1873,158.3805,69.94,60,75,6.71,broken clouds
305,Ketchikan,US,55.3422,-131.6461,72.07,73,0,14.97,clear sky
306,Atyrau,KZ,47.1167,51.8833,68.02,83,0,6.71,clear sky
307,Nikel,RU,69.4128,30.222,61.93,93,100,13.76,overcast clouds
308,Thompson,CA,55.7435,-97.8558,55.6,89,99,4.81,overcast clouds
309,Arman,RU,59.7,150.1667,75.02,72,38,5.95,scattered clouds
310,Kavarskas,LT,55.4333,24.9167,59.14,99,100,5.08,light rain
311,Belmonte,BR,-15.8631,-38.8828,70.59,78,3,8.19,clear sky
312,Czersk,PL,53.7959,17.9765,49.46,85,7,5.91,clear sky
313,Nelson Bay,AU,-32.7167,152.15,63.0,59,2,15.01,clear sky
314,Aykhal,RU,66.0,111.5,78.31,62,6,16.62,clear sky
315,Mahon,ES,39.8885,4.2658,73.96,78,0,5.75,clear sky
316,Geraldton,AU,-28.7667,114.6,55.81,76,0,13.8,clear sky
317,Faanui,PF,-16.4833,-151.75,78.62,72,24,8.97,few clouds
318,Whitehorse,CA,60.7161,-135.0538,63.73,71,99,1.99,overcast clouds
319,Porto Novo,BJ,6.4965,2.6036,75.4,89,100,8.66,light rain
320,Beloha,MG,-25.1667,45.05,57.9,88,0,2.42,clear sky
321,Say,NE,13.1007,2.3689,79.9,73,100,16.37,overcast clouds
322,Aracati,BR,-4.5617,-37.7697,77.92,76,85,11.9,overcast clouds
323,Erdaojiang,CN,41.7764,126.0319,84.52,61,5,3.44,clear sky
324,Kangaatsiaq,GL,68.3065,-53.4641,40.5,95,100,8.95,overcast clouds
325,Tecoanapa,MX,16.5167,-98.75,79.66,82,90,1.07,overcast clouds
326,Macusani,PE,-14.0833,-70.4333,34.02,87,26,1.23,scattered clouds
327,Ponferrada,ES,42.5466,-6.5962,60.82,88,6,1.99,clear sky
328,Te Anau,NZ,-45.4167,167.7167,43.59,94,100,2.37,light rain
329,Berbera,SO,10.4396,45.0143,89.15,34,17,23.69,few clouds
330,Cabo San Lucas,MX,22.8909,-109.9124,90.7,61,0,18.41,clear sky
331,Cobija,BO,-11.0267,-68.7692,76.98,64,75,2.68,broken clouds
332,Mangrol,IN,21.1167,70.1167,81.54,81,90,9.48,overcast clouds
333,Paamiut,GL,61.994,-49.6678,41.68,95,37,16.89,scattered clouds
334,Biak,ID,-0.9131,122.8766,75.22,94,100,6.29,light rain
335,Bogovarovo,RU,58.9785,47.0246,56.62,83,59,3.67,broken clouds
336,Yeppoon,AU,-23.1333,150.7333,67.78,38,0,10.11,clear sky
337,Comodoro Rivadavia,AR,-45.8667,-67.5,33.66,93,0,5.75,clear sky
338,Saint-Francois,FR,46.4154,3.9054,54.84,88,0,2.3,clear sky
339,Maltahohe,NA,-24.8333,16.9833,47.08,21,0,6.73,clear sky
340,Yumen,CN,40.2833,97.2,84.9,11,2,10.13,clear sky
341,El Paraiso,HN,13.8667,-86.55,67.64,95,100,3.33,moderate rain
342,Weligama,LK,5.9667,80.4167,78.06,89,100,5.88,overcast clouds
343,Muros,ES,42.7762,-9.0603,62.1,82,0,11.12,clear sky
344,Sandpoint,US,48.2766,-116.5533,92.01,38,0,1.99,clear sky
345,Opuwo,NA,-18.0607,13.84,56.48,33,64,0.81,broken clouds
346,Grayslake,US,42.3445,-88.0417,74.5,76,0,5.75,clear sky
347,Taltal,CL,-25.4,-70.4833,59.29,77,2,4.52,clear sky
348,Alice Springs,AU,-23.7,133.8833,54.95,38,0,18.41,clear sky
349,Doha,QA,25.2867,51.5333,93.51,70,20,12.66,light rain
350,Kruisfontein,ZA,-34.0033,24.7314,50.88,78,80,17.81,broken clouds
351,Jalu,LY,29.0331,21.5482,82.42,34,5,11.32,clear sky
352,Sant Julia De Loria,AD,42.4625,1.4825,62.26,88,0,2.66,clear sky
353,Derzhavinsk,KZ,51.1,66.3167,68.22,60,1,13.44,clear sky
354,Krasnyy Profintern,RU,57.7446,40.435,60.82,94,6,5.14,clear sky
355,Kenora,CA,49.8167,-94.4337,65.37,68,75,4.61,broken clouds
356,Mananara,MG,-16.1667,49.7667,62.74,94,34,4.83,scattered clouds
357,Dharchula,IN,29.85,80.5333,72.95,96,100,1.41,overcast clouds
358,Road Town,VG,18.4167,-64.6167,80.69,83,40,6.91,scattered clouds
359,Guangshui,CN,31.6199,113.9978,88.21,75,17,4.21,few clouds
360,Bloomingdale,US,27.8936,-82.2404,77.32,95,0,3.44,clear sky
361,Fatehabad,IN,29.5167,75.45,86.14,65,72,11.05,broken clouds
362,Ayan,RU,56.45,138.1667,60.57,80,100,11.32,overcast clouds
363,Podporozhye,RU,60.9112,34.1706,63.14,85,100,4.23,overcast clouds
364,Gimbi,ET,9.1667,35.8333,54.81,96,100,2.53,light rain
365,Vanavara,RU,60.34,102.2797,56.89,97,100,8.9,overcast clouds
366,Miandrivazo,MG,-19.5167,45.4667,65.05,84,0,2.59,clear sky
